#START7777
# YYMMDDHHMI   STN IW IR IX CH VV CA  WD   WS    TA    TD    HM     PA     PS PT     PR     RN RH WC WP CD CL CM CT  S19    TM    Tm  S33  S34  S35  S36  S37  S28  S29
#        UTC    ID -- -- -- -- --  8 deg  m/s     C     C     %    hPa    hPa --    hPa     mm 6h -- --  8 -- -- -- ----     C     C ---- ---- ---- ---- ---- ---- ----
202211300900 47170  4  3  6  5 70  7 340  3.0   1.3  -3.9  68.3 1026.9 1031.4  2    0.9  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47171  4  3  6  6 70  6  20  4.0  -2.4  -9.9  56.3 1023.9 1032.8  2    1.8  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47172  4  3  6  4 83  9 340  3.0  -1.9  -7.4  66.0 1025.1 1032.7  2    1.3  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47173  4  3  6  6 83  6  50  1.5  -2.3 -10.1  55.0 1015.0 1032.2  2    1.2  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47174  4  3  6  9 70  6 290  3.5  -1.4  -9.7  53.2 1009.6 1030.6  2    1.0  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47177  4  3  2  6 82  2 340  1.5  -3.0  -9.4  61.3 1030.4 1034.0  2    1.8  -99.0  0 -9 -9  2  5  0  1 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47184  4  4  1  6 84  7  20  6.0   4.6  -0.2  71.0 1028.2 1030.8  6    0.2  -99.0  0 26 82  7  5  0  0 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47185  4  4  6  5 84  9 360 12.5   4.8  -0.8  67.0 1020.1 1029.0  2    1.6  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47188  4  3  6  6 82  9 110  5.5   3.3  -3.7  60.1 1026.5 1029.1  0    0.1  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47189  4  3  2  5 84  8  70  1.0   6.3  -0.6  61.3 1020.1 1026.6  3    0.7  -99.0  0 -9 -9  5  5  2 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47192  4  3  6  9 62  6 360  2.5   1.2 -14.5  29.9 1026.1 1029.8  2    1.4  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47401  4  4  7 -9 57 -9 270  8.0  -4.6 -10.2  64.9 1007.4 1008.9  3    1.7  -99.0  0 71 70 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47402  4  4  7 -9  6 -9 250  5.5  -5.3  -8.0  81.3 1009.0 1010.1  3    2.4  -99.0  0 71 70 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47404  4  4  7 -9 59 -9 250  9.0  -3.5  -8.4  68.8 1011.0 1012.2  3    2.1  -99.0  0 71 70 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47405  4  4  7 -9 12 -9 260  5.0  -3.8  -6.1  84.0 1008.4 1010.4  3    3.0  -99.0  0 71 70 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
